jid,shear_modulus_gv,target,num_atoms
JVASP-136054,-3.53,-3.53,3
JVASP-136055,-4.0,-4.0,3
JVASP-136057,99.4,99.4,5
JVASP-136058,6.97,6.97,4
JVASP-136059,22.83,22.83,3
JVASP-136061,4.25,4.25,3
JVASP-136063,39.86,39.86,5
JVASP-136078,9.35,9.35,4
JVASP-136087,21.81,21.81,6
JVASP-136091,9.41,9.41,4
JVASP-136092,-6.18,-6.18,3
JVASP-136095,12.65,12.65,3
JVASP-136100,13.88,13.88,3
JVASP-136105,25.77,25.77,3
JVASP-136106,0.95,0.95,3
JVASP-136107,-12.06,-12.06,3
JVASP-136108,10.13,10.13,4
JVASP-136113,24.76,24.76,5
JVASP-136114,-20.93,-20.93,5
JVASP-136116,-2.45,-2.45,3
JVASP-136120,73.05,73.05,3
JVASP-136122,34.21,34.21,6
JVASP-136124,2.22,2.22,3
JVASP-136128,15.51,15.51,3
JVASP-136129,2.67,2.67,4
JVASP-136132,4.27,4.27,3
JVASP-136134,5.34,5.34,3
JVASP-136138,8.0,8.0,4
JVASP-136140,0.86,0.86,3
JVASP-136145,0.0,0.0,3
JVASP-136149,17.04,17.04,4
JVASP-136150,-5.07,-5.07,3
JVASP-136151,1.22,1.22,3
JVASP-136152,5.79,5.79,2
JVASP-136154,-6.12,-6.12,3
JVASP-136157,9.72,9.72,3
JVASP-136158,2.11,2.11,3
JVASP-136160,14.91,14.91,4
JVASP-136166,10.59,10.59,3
JVASP-136173,9.57,9.57,3
JVASP-136175,-21.08,-21.08,2
JVASP-136176,-0.11,-0.11,3
JVASP-136177,14.53,14.53,3
JVASP-136183,31.29,31.29,3
JVASP-136184,13.89,13.89,3
JVASP-136189,-1.97,-1.97,4
JVASP-136190,8.03,8.03,3
JVASP-136193,10.31,10.31,3
JVASP-136194,9.63,9.63,3
JVASP-136195,7.57,7.57,4
JVASP-136197,4.53,4.53,3
JVASP-136198,10.29,10.29,2
JVASP-136203,63.59,63.59,3
JVASP-136210,27.03,27.03,4
JVASP-136215,19.53,19.53,6
JVASP-136217,17.55,17.55,3
JVASP-136223,21.59,21.59,3
JVASP-136225,13.55,13.55,3
JVASP-136226,-2.83,-2.83,3
JVASP-136228,36.33,36.33,4
JVASP-136235,26.35,26.35,3
JVASP-136237,53.93,53.93,3
JVASP-136241,-2.41,-2.41,2
JVASP-136243,-4.05,-4.05,2
JVASP-136245,7.84,7.84,3
JVASP-136247,-1.26,-1.26,4
JVASP-136249,6.1,6.1,3
JVASP-136251,-19.16,-19.16,4
JVASP-136252,-3.69,-3.69,6
JVASP-136253,2.39,2.39,3
JVASP-136254,1.94,1.94,3
JVASP-136255,7.09,7.09,4
JVASP-136256,4.91,4.91,3
JVASP-136262,1.99,1.99,2
JVASP-136264,6.58,6.58,3
JVASP-136266,-0.51,-0.51,3
JVASP-136267,-10.67,-10.67,3
JVASP-136268,12.64,12.64,4
JVASP-136271,5.99,5.99,3
JVASP-136272,2.11,2.11,3
JVASP-136274,12.62,12.62,4
JVASP-136279,14.9,14.9,4
JVASP-136281,-5.99,-5.99,3
JVASP-136282,24.47,24.47,4
JVASP-136283,15.21,15.21,2
JVASP-136288,-11.22,-11.22,4
JVASP-136289,1.74,1.74,3
JVASP-136290,-6.04,-6.04,3
JVASP-136291,4.68,4.68,3
JVASP-136292,13.8,13.8,5
JVASP-136297,-7.99,-7.99,6
JVASP-1363,142.66,142.66,2
JVASP-136300,6.21,6.21,3
JVASP-136302,4.69,4.69,3
JVASP-136303,1.14,1.14,3
JVASP-136305,0.28,0.28,3
JVASP-136307,-20.91,-20.91,3
JVASP-136310,-7.82,-7.82,4
JVASP-136311,7.04,7.04,2
JVASP-136313,17.63,17.63,3
JVASP-136314,-1.2,-1.2,3
JVASP-136320,24.89,24.89,6
JVASP-136324,5.17,5.17,3
JVASP-136326,6.23,6.23,4
JVASP-136328,4.24,4.24,3
JVASP-136329,11.23,11.23,3
JVASP-136333,18.84,18.84,4
JVASP-136334,21.51,21.51,6
JVASP-136341,18.21,18.21,3
JVASP-136344,11.17,11.17,4
JVASP-136345,14.01,14.01,3
JVASP-136346,-8.63,-8.63,4
JVASP-136347,22.1,22.1,6
JVASP-136357,9.55,9.55,3
JVASP-136361,-10.59,-10.59,3
JVASP-136362,-14.93,-14.93,6
JVASP-136364,5.35,5.35,3
JVASP-136367,11.19,11.19,3
JVASP-136371,6.01,6.01,3
JVASP-136375,22.05,22.05,4
JVASP-136378,8.79,8.79,3
JVASP-136380,2.64,2.64,3
JVASP-136382,29.68,29.68,5
JVASP-136383,22.38,22.38,5
JVASP-136385,3.43,3.43,3
JVASP-136386,8.7,8.7,3
JVASP-136387,11.39,11.39,4
JVASP-136390,0.0,0.0,3
JVASP-136406,6.01,6.01,3
JVASP-136407,-6.06,-6.06,3
JVASP-136408,36.63,36.63,6
JVASP-136412,-2.77,-2.77,3
JVASP-136413,1.26,1.26,3
JVASP-136414,60.75,60.75,3
JVASP-136420,20.17,20.17,4
JVASP-136422,37.28,37.28,6
JVASP-136428,8.62,8.62,3
JVASP-136429,6.75,6.75,3
JVASP-136430,13.33,13.33,6
JVASP-136437,-3.75,-3.75,3
JVASP-136438,4.43,4.43,3
JVASP-136439,10.83,10.83,3
JVASP-136441,28.42,28.42,4
JVASP-136442,34.27,34.27,3
JVASP-136498,9.03,9.03,3
JVASP-136499,12.1,12.1,3
JVASP-136515,22.88,22.88,3
JVASP-136521,29.35,29.35,3
JVASP-136524,98.76,98.76,3
JVASP-136525,10.05,10.05,3
JVASP-136526,2.79,2.79,3
JVASP-136527,1.72,1.72,3
JVASP-136532,16.4,16.4,3
JVASP-136536,0.13,0.13,3
JVASP-136538,-9.89,-9.89,3
JVASP-136539,14.39,14.39,3
JVASP-136541,9.77,9.77,3
JVASP-136542,48.93,48.93,6
JVASP-136544,11.97,11.97,3
JVASP-136548,-0.59,-0.59,3
JVASP-136550,11.75,11.75,3
JVASP-136551,-7.48,-7.48,3
JVASP-136555,32.54,32.54,5
JVASP-136558,33.98,33.98,5
JVASP-136560,-17.07,-17.07,3
JVASP-136562,41.17,41.17,4
JVASP-136565,-0.42,-0.42,3
JVASP-136567,6.21,6.21,3
JVASP-136568,19.94,19.94,4
JVASP-136569,40.8,40.8,5
JVASP-136570,2.67,2.67,4
JVASP-136571,-14.0,-14.0,3
JVASP-136575,2.8,2.8,3
JVASP-136576,49.7,49.7,5
JVASP-136577,13.93,13.93,4
JVASP-136578,3.78,3.78,3
JVASP-136579,2.76,2.76,4
JVASP-136584,8.96,8.96,4
JVASP-136585,-15.75,-15.75,4
JVASP-136587,4.02,4.02,3
JVASP-136593,9.59,9.59,3
JVASP-136594,12.88,12.88,5
JVASP-136597,59.44,59.44,4
JVASP-1366,33.02,33.02,4
JVASP-136609,-15.88,-15.88,3
JVASP-136610,3.77,3.77,3
JVASP-136611,11.09,11.09,5
JVASP-136612,19.72,19.72,5
JVASP-136613,5.79,5.79,4
JVASP-136617,3.22,3.22,3
JVASP-136619,-1.71,-1.71,3
JVASP-136622,5.55,5.55,3
JVASP-136624,9.09,9.09,3
JVASP-136626,4.32,4.32,3
JVASP-136627,11.34,11.34,4
JVASP-136628,15.06,15.06,5
JVASP-136629,-12.67,-12.67,6
JVASP-136630,0.34,0.34,3
JVASP-136640,16.81,16.81,4
JVASP-136649,19.0,19.0,3
JVASP-136650,34.17,34.17,4
JVASP-136651,12.03,12.03,3
JVASP-136654,14.11,14.11,3
JVASP-136655,19.28,19.28,3
JVASP-136660,-5.24,-5.24,3
JVASP-136661,14.97,14.97,2
JVASP-136664,2.17,2.17,4
JVASP-136665,-1.03,-1.03,4
JVASP-136670,-21.11,-21.11,4
JVASP-136673,44.04,44.04,5
JVASP-136676,-23.93,-23.93,3
JVASP-136677,11.53,11.53,2
JVASP-136680,21.59,21.59,2
JVASP-136691,15.81,15.81,4
JVASP-136698,-20.78,-20.78,3
JVASP-136699,11.17,11.17,3
JVASP-136702,-6.54,-6.54,3
JVASP-136706,62.75,62.75,5
JVASP-136707,-4.69,-4.69,3
JVASP-136711,-2.97,-2.97,3
JVASP-136717,20.25,20.25,3
JVASP-136718,20.65,20.65,4
JVASP-136719,-21.37,-21.37,6
JVASP-136720,146.8,146.8,5
JVASP-136724,10.47,10.47,3
JVASP-136725,108.32,108.32,5
JVASP-136726,-8.42,-8.42,3
JVASP-136729,2.43,2.43,2
JVASP-136730,16.27,16.27,3
JVASP-136731,14.89,14.89,3
JVASP-136740,76.21,76.21,4
JVASP-136742,10.43,10.43,4
JVASP-136749,9.77,9.77,3
JVASP-136750,7.14,7.14,2
JVASP-136755,-3.21,-3.21,3
JVASP-136761,-13.93,-13.93,3
JVASP-136769,23.14,23.14,3
JVASP-136773,59.38,59.38,4
JVASP-136778,-4.35,-4.35,3
JVASP-136779,89.93,89.93,4
JVASP-136780,20.56,20.56,4
JVASP-136790,90.58,90.58,5
JVASP-136795,-16.8,-16.8,3
JVASP-136797,4.96,4.96,3
JVASP-136798,-20.75,-20.75,3
JVASP-136802,-2.42,-2.42,3
JVASP-136804,26.83,26.83,2
JVASP-136807,10.95,10.95,3
JVASP-136808,3.95,3.95,3
JVASP-136809,8.49,8.49,2
JVASP-136815,-8.04,-8.04,3
JVASP-136816,-4.29,-4.29,2
JVASP-136821,4.49,4.49,3
JVASP-136823,5.67,5.67,3
JVASP-136824,-0.39,-0.39,3
JVASP-136827,-9.76,-9.76,3
JVASP-136833,8.29,8.29,3
JVASP-136836,-8.14,-8.14,2
JVASP-136837,3.94,3.94,3
JVASP-136839,8.73,8.73,3
JVASP-136840,6.82,6.82,3
JVASP-136849,5.67,5.67,3
JVASP-136850,5.07,5.07,3
JVASP-136852,9.01,9.01,4
JVASP-136857,6.03,6.03,3
JVASP-136861,-2.35,-2.35,2
JVASP-136862,11.14,11.14,3
JVASP-136864,16.42,16.42,3
JVASP-136865,3.39,3.39,4
JVASP-136866,-6.69,-6.69,4
JVASP-136871,7.55,7.55,3
JVASP-136873,6.59,6.59,3
JVASP-136874,3.92,3.92,3
JVASP-136878,-6.0,-6.0,3
JVASP-136879,0.87,0.87,2
JVASP-136882,6.89,6.89,3
JVASP-136883,6.66,6.66,3
JVASP-136886,-4.93,-4.93,4
JVASP-136888,6.64,6.64,2
JVASP-136890,7.25,7.25,2
JVASP-136892,16.73,16.73,4
JVASP-136898,2.24,2.24,4
JVASP-136902,8.11,8.11,3
JVASP-136906,2.45,2.45,3
JVASP-136907,0.37,0.37,2
JVASP-136909,-1.51,-1.51,3
JVASP-136912,15.56,15.56,3
JVASP-136914,-9.69,-9.69,3
JVASP-136915,12.42,12.42,3
JVASP-136916,12.07,12.07,3
JVASP-136919,21.85,21.85,3
JVASP-136920,-19.01,-19.01,3
JVASP-136922,-8.35,-8.35,4
JVASP-136923,8.29,8.29,3
JVASP-136924,5.62,5.62,3
JVASP-136925,18.4,18.4,3
JVASP-136928,13.61,13.61,3
JVASP-136937,16.15,16.15,3
JVASP-136938,-0.26,-0.26,3
JVASP-136940,14.09,14.09,3
JVASP-136941,6.03,6.03,3
JVASP-136942,-13.59,-13.59,3
JVASP-136944,18.04,18.04,3
JVASP-136948,1.68,1.68,3
JVASP-136949,8.67,8.67,3
JVASP-136950,15.85,15.85,6
JVASP-136951,25.31,25.31,6
JVASP-136953,-0.13,-0.13,3
JVASP-136962,17.38,17.38,3
JVASP-136969,12.33,12.33,3
JVASP-136970,14.89,14.89,3
JVASP-136971,15.5,15.5,3
JVASP-136972,25.21,25.21,4
JVASP-136973,18.32,18.32,3
JVASP-136977,15.67,15.67,4
JVASP-136981,15.63,15.63,3
JVASP-136985,16.88,16.88,3
JVASP-136986,16.55,16.55,3
JVASP-136988,33.86,33.86,3
JVASP-136989,27.04,27.04,3
JVASP-136993,13.53,13.53,3
JVASP-136996,-23.9,-23.9,3
JVASP-136997,3.69,3.69,2
JVASP-137002,16.94,16.94,5
JVASP-137003,-5.01,-5.01,3
JVASP-137004,26.57,26.57,3
JVASP-137007,43.09,43.09,4
JVASP-137012,-24.47,-24.47,3
JVASP-137016,147.46,147.46,5
JVASP-137019,-7.47,-7.47,4
JVASP-137027,23.73,23.73,4
JVASP-137029,42.94,42.94,5
JVASP-137032,79.02,79.02,4
JVASP-137035,2.94,2.94,2
JVASP-137039,0.39,0.39,3
JVASP-137043,18.17,18.17,3
JVASP-137044,45.6,45.6,3
JVASP-137046,47.52,47.52,2
JVASP-137047,12.68,12.68,4
JVASP-137049,2.27,2.27,2
JVASP-137052,5.19,5.19,2
JVASP-137057,18.89,18.89,4
JVASP-137061,-8.63,-8.63,3
JVASP-137065,14.63,14.63,3
JVASP-137068,-15.21,-15.21,4
JVASP-137074,-11.33,-11.33,3
JVASP-137081,5.11,5.11,3
JVASP-137083,48.09,48.09,4
JVASP-137089,9.57,9.57,3
JVASP-137094,8.97,8.97,3
JVASP-137098,2.67,2.67,3
JVASP-137099,19.06,19.06,4
JVASP-137105,0.87,0.87,3
JVASP-137106,-7.15,-7.15,3
JVASP-137107,-1.75,-1.75,3
JVASP-137111,-2.37,-2.37,3
JVASP-137112,-4.33,-4.33,3
JVASP-137113,0.58,0.58,6
JVASP-137114,47.27,47.27,3
JVASP-137115,14.93,14.93,3
JVASP-137117,22.27,22.27,3
JVASP-137118,-16.85,-16.85,6
JVASP-137119,56.18,56.18,5
JVASP-137121,57.76,57.76,5
JVASP-137122,22.84,22.84,3
JVASP-137128,3.49,3.49,3
JVASP-137133,23.35,23.35,3
JVASP-137136,30.91,30.91,6
JVASP-137137,17.85,17.85,3
JVASP-137139,-1.71,-1.71,3
JVASP-137140,-7.41,-7.41,3
JVASP-137142,24.96,24.96,3
JVASP-137147,15.99,15.99,6
JVASP-137148,-1.21,-1.21,3
JVASP-137153,11.38,11.38,2
JVASP-137158,17.3,17.3,3
JVASP-137159,-3.71,-3.71,3
JVASP-137163,0.26,0.26,6
JVASP-137164,20.05,20.05,2
JVASP-137166,10.17,10.17,3
JVASP-137167,4.35,4.35,4
JVASP-137170,81.38,81.38,5
JVASP-137171,5.07,5.07,3
JVASP-137177,82.33,82.33,6
JVASP-137178,42.11,42.11,4
JVASP-137187,-4.45,-4.45,3
JVASP-137189,-1.09,-1.09,2
JVASP-137192,9.21,9.21,3
JVASP-137199,23.91,23.91,4
JVASP-1372,42.58,42.58,2
JVASP-137200,9.75,9.75,4
JVASP-137201,12.24,12.24,4
JVASP-137203,44.85,44.85,2
JVASP-137205,24.01,24.01,4
JVASP-13734,42.85,42.85,6
JVASP-13745,40.27,40.27,4
JVASP-1375,41.35,41.35,4
JVASP-13754,37.37,37.37,10
JVASP-137613,12.23,12.23,22
JVASP-13762,36.63,36.63,4
JVASP-13764,0.0,0.0,5
JVASP-13769,40.31,40.31,12
JVASP-137768,-5.04,-5.04,3
JVASP-137769,71.2,71.2,3
JVASP-137771,115.07,115.07,5
JVASP-137772,96.28,96.28,3
JVASP-137773,132.07,132.07,3
JVASP-137775,10.75,10.75,3
JVASP-137779,81.07,81.07,3
JVASP-137780,14.04,14.04,3
JVASP-137781,102.15,102.15,4
JVASP-137784,12.3,12.3,3
JVASP-137788,39.97,39.97,2
JVASP-137789,22.79,22.79,2
JVASP-137794,9.94,9.94,6
JVASP-137797,16.12,16.12,3
JVASP-137800,6.57,6.57,3
JVASP-137808,80.13,80.13,5
JVASP-137813,18.25,18.25,3
JVASP-137814,36.62,36.62,4
JVASP-137821,-2.39,-2.39,4
JVASP-137824,58.78,58.78,5
JVASP-137829,3.98,3.98,3
JVASP-137831,40.41,40.41,3
JVASP-137834,39.23,39.23,3
JVASP-137835,-10.97,-10.97,4
JVASP-137836,21.77,21.77,3
JVASP-137842,75.55,75.55,2
JVASP-137843,16.97,16.97,3
JVASP-137844,143.99,143.99,4
JVASP-137845,59.99,59.99,4
JVASP-137847,-24.44,-24.44,3
JVASP-137852,4.77,4.77,2
JVASP-137853,0.61,0.61,2
JVASP-137854,2.93,2.93,3
JVASP-137856,18.5,18.5,4
JVASP-137857,7.35,7.35,3
JVASP-137860,9.92,9.92,3
JVASP-137861,6.61,6.61,3
JVASP-137863,10.43,10.43,4
JVASP-137867,-1.59,-1.59,3
JVASP-137868,6.36,6.36,3
JVASP-137869,10.6,10.6,4
JVASP-13787,49.27,49.27,6
JVASP-137871,8.11,8.11,3
JVASP-137874,12.67,12.67,4
JVASP-137878,5.69,5.69,3
JVASP-137879,8.4,8.4,4
JVASP-137880,10.24,10.24,4
JVASP-137881,8.53,8.53,3
JVASP-137889,22.84,22.84,3
JVASP-137891,4.53,4.53,4
JVASP-137896,-0.38,-0.38,3
JVASP-137899,10.8,10.8,3
JVASP-137901,20.46,20.46,6
JVASP-137902,8.41,8.41,3
JVASP-137908,10.95,10.95,3
JVASP-137918,-19.17,-19.17,4
JVASP-137921,7.47,7.47,4
JVASP-137924,71.58,71.58,3
JVASP-137933,1.46,1.46,3
JVASP-137935,6.44,6.44,3
JVASP-137939,9.16,9.16,5
JVASP-137940,-8.99,-8.99,3
JVASP-137941,4.11,4.11,3
JVASP-137942,-6.31,-6.31,3
JVASP-137943,5.17,5.17,3
JVASP-137944,15.65,15.65,4
JVASP-137946,2.62,2.62,3
JVASP-137947,8.59,8.59,3
JVASP-137948,-0.75,-0.75,3
JVASP-13795,36.29,36.29,8
JVASP-137952,2.6,2.6,3
JVASP-137957,6.67,6.67,3
JVASP-137959,4.49,4.49,3
JVASP-137965,37.87,37.87,2
JVASP-137967,-6.99,-6.99,3
JVASP-137971,7.37,7.37,3
JVASP-137973,-1.16,-1.16,3
JVASP-137981,3.74,3.74,3
JVASP-137982,7.41,7.41,3
JVASP-137985,9.18,9.18,3
JVASP-137987,5.93,5.93,3
JVASP-137988,79.4,79.4,3
JVASP-137989,16.88,16.88,3
JVASP-13799,12.93,12.93,16
JVASP-137992,8.21,8.21,3
JVASP-137995,5.3,5.3,3
JVASP-137996,65.92,65.92,5
JVASP-137997,42.29,42.29,4
JVASP-137998,9.12,9.12,3
JVASP-137999,-6.24,-6.24,3
JVASP-138000,27.33,27.33,4
JVASP-138002,0.72,0.72,3
JVASP-138004,4.65,4.65,3
JVASP-138006,-18.19,-18.19,5
JVASP-138015,4.74,4.74,3
JVASP-138018,4.7,4.7,3
JVASP-138022,6.59,6.59,4
JVASP-138024,22.27,22.27,4
JVASP-138029,20.38,20.38,5
JVASP-138033,18.95,18.95,3
JVASP-138035,41.19,41.19,4
JVASP-138036,-5.71,-5.71,3
JVASP-138038,30.05,30.05,4
JVASP-138040,-1.76,-1.76,3
JVASP-138042,-1.98,-1.98,3
JVASP-138044,3.73,3.73,3
JVASP-138045,-1.4,-1.4,3
JVASP-13805,22.59,22.59,13
JVASP-138056,15.58,15.58,3
JVASP-138059,33.19,33.19,4
JVASP-138061,49.95,49.95,3
JVASP-138064,22.16,22.16,4
JVASP-138068,-1.32,-1.32,3
JVASP-138069,24.31,24.31,4
JVASP-138070,19.31,19.31,3
JVASP-138071,14.78,14.78,3
JVASP-138076,15.53,15.53,3
JVASP-138077,11.45,11.45,3
JVASP-138079,3.1,3.1,3
JVASP-13808,7.76,7.76,20
JVASP-138080,11.78,11.78,4
JVASP-138081,1.26,1.26,3
JVASP-138082,-20.95,-20.95,3
JVASP-138083,4.23,4.23,3
JVASP-138085,2.23,2.23,3
JVASP-138087,0.57,0.57,3
JVASP-138089,5.53,5.53,3
JVASP-138090,16.52,16.52,2
JVASP-138094,69.82,69.82,4
JVASP-138096,2.84,2.84,3
JVASP-1381,28.04,28.04,3
JVASP-138102,9.57,9.57,4
JVASP-138104,24.59,24.59,3
JVASP-138105,33.01,33.01,3
JVASP-138108,10.9,10.9,4
JVASP-138111,12.93,12.93,3
JVASP-138113,-13.77,-13.77,3
JVASP-138115,10.23,10.23,3
JVASP-138116,4.75,4.75,3
JVASP-138119,3.21,3.21,3
JVASP-138120,-12.66,-12.66,3
JVASP-138121,9.44,9.44,3
JVASP-138124,33.31,33.31,3
JVASP-138128,17.72,17.72,2
JVASP-138129,-0.93,-0.93,3
JVASP-138130,21.33,21.33,3
JVASP-138131,22.35,22.35,3
JVASP-138135,21.47,21.47,3
JVASP-138143,8.56,8.56,3
JVASP-138145,18.93,18.93,3
JVASP-138147,-0.77,-0.77,3
JVASP-138148,-17.89,-17.89,3
JVASP-13815,82.58,82.58,10
JVASP-138154,10.11,10.11,3
JVASP-138155,45.59,45.59,3
JVASP-138160,23.75,23.75,3
JVASP-138165,72.91,72.91,4
JVASP-138169,17.98,17.98,4
JVASP-13817,12.35,12.35,10
JVASP-138171,4.35,4.35,3
JVASP-138172,-5.73,-5.73,4
JVASP-138174,19.42,19.42,4
JVASP-138177,6.57,6.57,3
JVASP-138178,17.17,17.17,3
JVASP-138180,14.83,14.83,3
JVASP-138181,11.12,11.12,3
JVASP-138188,7.77,7.77,3
JVASP-138191,35.5,35.5,3
JVASP-138195,1.18,1.18,3
JVASP-138196,10.19,10.19,2
JVASP-138197,8.78,8.78,4
JVASP-138203,1.55,1.55,4
JVASP-138205,-11.19,-11.19,3
JVASP-138206,13.59,13.59,4
JVASP-138207,9.96,9.96,3
JVASP-138208,6.95,6.95,3
JVASP-138214,7.06,7.06,3
JVASP-138215,11.9,11.9,3
JVASP-138217,6.37,6.37,3
JVASP-13822,13.93,13.93,6
JVASP-138221,3.27,3.27,3
JVASP-138222,26.39,26.39,4
JVASP-138223,3.22,3.22,3
JVASP-138226,7.96,7.96,3
JVASP-138229,10.09,10.09,4
JVASP-138235,47.89,47.89,4
JVASP-138237,-0.67,-0.67,3
JVASP-138241,-2.15,-2.15,3
JVASP-138242,21.65,21.65,4
JVASP-138243,23.74,23.74,6
JVASP-138246,5.94,5.94,3
JVASP-138247,-14.77,-14.77,6
JVASP-13825,35.41,35.41,8
JVASP-138250,25.06,25.06,4
JVASP-138252,14.53,14.53,3
JVASP-138255,25.61,25.61,4
JVASP-138257,36.58,36.58,5
JVASP-138259,24.03,24.03,4
JVASP-138260,-3.34,-3.34,3
JVASP-138262,15.03,15.03,3
JVASP-138263,24.55,24.55,3
JVASP-138264,-2.58,-2.58,3
JVASP-138268,17.44,17.44,3
JVASP-13827,131.19,131.19,10
JVASP-138274,8.98,8.98,3
JVASP-138276,10.49,10.49,4
JVASP-138281,2.48,2.48,4
JVASP-138282,4.07,4.07,3
JVASP-138285,13.75,13.75,3
JVASP-138286,10.78,10.78,3
JVASP-138287,5.11,5.11,2
JVASP-138291,9.5,9.5,3
JVASP-138293,10.8,10.8,3
JVASP-138300,17.84,17.84,3
JVASP-138303,-13.17,-13.17,3
JVASP-138304,13.84,13.84,2
JVASP-138307,13.45,13.45,3
JVASP-138308,9.81,9.81,4
JVASP-138311,10.39,10.39,3
JVASP-138313,15.5,15.5,5
JVASP-138314,4.61,4.61,3
JVASP-138315,6.43,6.43,3
JVASP-138316,1.51,1.51,4
JVASP-138319,-1.27,-1.27,3
JVASP-138320,-10.2,-10.2,3
JVASP-138321,15.74,15.74,5
JVASP-138322,11.88,11.88,3
JVASP-138323,14.96,14.96,3
JVASP-138324,5.39,5.39,4
JVASP-138325,0.01,0.01,3
JVASP-138326,2.57,2.57,3
JVASP-138333,11.4,11.4,3
JVASP-138345,9.65,9.65,6
JVASP-138347,4.39,4.39,3
JVASP-138348,9.77,9.77,6
JVASP-138349,-2.87,-2.87,3
JVASP-13835,66.89,66.89,4
JVASP-138351,8.35,8.35,3
JVASP-138352,6.2,6.2,3
JVASP-138353,2.15,2.15,3
JVASP-138357,4.8,4.8,3
JVASP-13836,22.12,22.12,4
JVASP-138363,6.83,6.83,3
JVASP-138365,15.29,15.29,3
JVASP-138368,7.04,7.04,3
JVASP-138370,16.13,16.13,3
JVASP-138371,3.54,3.54,3
JVASP-138372,5.02,5.02,3
JVASP-138381,-3.11,-3.11,3
JVASP-138382,-8.09,-8.09,3
JVASP-138383,9.71,9.71,3
JVASP-138388,47.17,47.17,3
JVASP-138390,225.37,225.37,3
JVASP-138396,2.63,2.63,3
JVASP-138398,2.93,2.93,4
JVASP-13840,36.79,36.79,6
JVASP-138409,3.55,3.55,3
JVASP-138412,-17.43,-17.43,4
JVASP-138413,10.33,10.33,4
JVASP-138414,10.85,10.85,3
JVASP-138415,1.29,1.29,3
JVASP-138418,21.61,21.61,3
JVASP-138419,2.28,2.28,4
JVASP-138421,0.7,0.7,2
JVASP-138428,-23.65,-23.65,3
JVASP-13843,54.05,54.05,6
JVASP-138430,5.49,5.49,3
JVASP-138437,13.53,13.53,3
JVASP-138439,141.95,141.95,3
JVASP-138440,16.48,16.48,4
JVASP-138443,104.04,104.04,5
JVASP-138445,-3.59,-3.59,3
JVASP-138446,19.03,19.03,3
JVASP-138449,82.39,82.39,4
JVASP-13845,13.69,13.69,6
JVASP-138451,3.28,3.28,3
JVASP-138454,16.11,16.11,3
JVASP-138456,101.73,101.73,2
JVASP-138459,13.93,13.93,4
JVASP-13846,106.67,106.67,6
JVASP-138462,13.15,13.15,3
JVASP-138464,101.22,101.22,5
JVASP-138469,53.26,53.26,4
JVASP-138470,6.87,6.87,3
JVASP-138477,-1.57,-1.57,3
JVASP-138481,-2.83,-2.83,3
JVASP-138484,16.46,16.46,3
JVASP-138487,-22.2,-22.2,4
JVASP-13849,39.09,39.09,4
JVASP-138495,7.16,7.16,2
JVASP-138496,4.74,4.74,2
JVASP-138500,-6.39,-6.39,3
JVASP-138502,4.37,4.37,3
JVASP-138504,6.45,6.45,3
JVASP-138505,1.57,1.57,2
JVASP-138510,26.05,26.05,4
JVASP-138511,24.91,24.91,3
JVASP-138516,75.43,75.43,3
JVASP-138517,182.29,182.29,3
JVASP-138518,22.56,22.56,3
JVASP-138522,8.85,8.85,2
JVASP-138524,13.73,13.73,4
JVASP-138525,3.85,3.85,3
JVASP-138527,4.88,4.88,3
JVASP-138528,3.24,3.24,3
JVASP-13853,-6.04,-6.04,6
JVASP-138530,24.09,24.09,4
JVASP-138531,15.34,15.34,4
JVASP-138535,-10.2,-10.2,3
JVASP-138536,10.07,10.07,4
JVASP-13854,-0.75,-0.75,6
JVASP-138542,13.97,13.97,3
JVASP-138543,5.57,5.57,3
JVASP-138544,-20.69,-20.69,4
JVASP-138549,18.82,18.82,4
JVASP-138550,17.19,17.19,3
JVASP-138552,0.93,0.93,3
JVASP-138554,12.4,12.4,5
JVASP-138558,8.31,8.31,3
JVASP-13856,21.7,21.7,4
JVASP-13857,2.25,2.25,12
JVASP-138576,13.84,13.84,4
JVASP-138578,5.2,5.2,3
JVASP-138579,10.21,10.21,4
JVASP-138580,-13.26,-13.26,3
JVASP-138582,-16.43,-16.43,3
JVASP-138588,9.53,9.53,3
JVASP-138590,3.69,3.69,3
JVASP-138593,4.62,4.62,3
JVASP-138594,6.94,6.94,4
JVASP-138595,-0.84,-0.84,3
JVASP-138599,-22.45,-22.45,3
JVASP-138600,-1.97,-1.97,4
JVASP-138601,4.59,4.59,3
JVASP-138604,-1.46,-1.46,4
JVASP-138605,0.11,0.11,3
JVASP-138609,5.5,5.5,3
JVASP-13861,88.41,88.41,4
JVASP-138610,3.9,3.9,3
JVASP-138613,-2.67,-2.67,3
JVASP-138614,7.32,7.32,3
JVASP-138616,-12.88,-12.88,4
JVASP-138619,6.11,6.11,3
JVASP-138621,4.82,4.82,3
JVASP-138622,17.4,17.4,5
JVASP-138625,3.11,3.11,3
JVASP-138634,0.77,0.77,3
JVASP-138636,35.97,35.97,6
JVASP-138639,19.2,19.2,4
JVASP-138643,31.67,31.67,3
JVASP-138644,14.19,14.19,3
JVASP-138647,-0.56,-0.56,3
JVASP-138648,7.11,7.11,3
JVASP-138650,2.57,2.57,3
JVASP-138651,7.59,7.59,5
JVASP-138652,5.65,5.65,4
JVASP-138653,12.82,12.82,5
