jid,bulk_modulus_kv,target,num_atoms
JVASP-67710,88.33,88.33,4
JVASP-18580,51.3,51.3,4
JVASP-87013,151.23,151.23,10
JVASP-15815,82.2,82.2,3
JVASP-90798,56.7,56.7,8
JVASP-66912,28.13,28.13,3
JVASP-86884,24.32,24.32,8
JVASP-68312,62.62,62.62,4
JVASP-68787,46.17,46.17,4
JVASP-67553,17.74,17.74,6
JVASP-67921,145.09,145.09,4
JVASP-91978,44.31,44.31,8
JVASP-42263,163.74,163.74,4
JVASP-88073,79.04,79.04,12
JVASP-73998,0.0,0.0,4
JVASP-16142,104.61,104.61,6
JVASP-86709,18.64,18.64,18
JVASP-67589,209.11,209.11,4
JVASP-74063,218.7,218.7,4
JVASP-68920,83.72,83.72,4
JVASP-91778,26.56,26.56,8
JVASP-68426,119.78,119.78,4
JVASP-537,42.71,42.71,9
JVASP-3678,17.5,17.5,9
JVASP-68046,23.76,23.76,4
JVASP-75533,78.77,78.77,3
JVASP-68857,79.24,79.24,4
JVASP-67137,55.24,55.24,4
JVASP-62568,229.37,229.37,4
JVASP-68552,5.2,5.2,4
JVASP-66819,176.26,176.26,3
JVASP-85904,144.48,144.48,5
JVASP-91927,160.78,160.78,8
JVASP-14581,65.33,65.33,2
JVASP-67749,99.42,99.42,3
JVASP-85627,155.36,155.36,10
JVASP-12150,124.34,124.34,8
JVASP-68245,191.37,191.37,4
JVASP-52578,189.93,189.93,9
JVASP-67381,185.04,185.04,3
JVASP-16017,34.13,34.13,6
JVASP-14919,45.64,45.64,5
JVASP-87082,0.0,0.0,18
JVASP-599,36.98,36.98,4
JVASP-53051,97.48,97.48,4
JVASP-86539,33.86,33.86,13
JVASP-90889,26.64,26.64,8
JVASP-75493,1.23,1.23,3
JVASP-68381,98.44,98.44,4
JVASP-67791,160.17,160.17,3
JVASP-67669,42.0,42.0,3
JVASP-68131,188.26,188.26,4
JVASP-68662,34.72,34.72,4
JVASP-91824,150.6,150.6,8
JVASP-67923,44.33,44.33,4
JVASP-85417,137.74,137.74,6
JVASP-86419,20.27,20.27,9
JVASP-68049,83.09,83.09,3
JVASP-67554,145.57,145.57,4
JVASP-74001,140.86,140.86,4
JVASP-67628,43.91,43.91,4
JVASP-67068,48.3,48.3,3
JVASP-66919,166.22,166.22,3
JVASP-66991,69.46,69.46,3
JVASP-67984,42.4,42.4,4
JVASP-28568,56.53,56.53,9
JVASP-67671,0.0,0.0,4
JVASP-62681,244.93,244.93,4
JVASP-68494,84.44,84.44,4
JVASP-1723,41.2,41.2,4
JVASP-74064,148.16,148.16,4
JVASP-67590,144.63,144.63,4
JVASP-16116,119.54,119.54,6
JVASP-91591,112.64,112.64,8
JVASP-18872,113.44,113.44,5
JVASP-87880,82.33,82.33,24
JVASP-15645,148.67,148.67,5
JVASP-67139,100.8,100.8,4
JVASP-68609,74.54,74.54,4
JVASP-14558,40.61,40.61,4
JVASP-14795,151.14,151.14,3
JVASP-68431,67.89,67.89,4
JVASP-75494,60.73,60.73,3
JVASP-62854,32.33,32.33,22
JVASP-66821,68.93,68.93,3
JVASP-68793,56.56,56.56,4
JVASP-67463,192.97,192.97,3
JVASP-90515,22.91,22.91,8
JVASP-91730,66.6,66.6,8
JVASP-66750,80.91,80.91,3
JVASP-20063,38.2,38.2,2
JVASP-67712,72.4,72.4,3
JVASP-67831,37.82,37.82,3
JVASP-75536,127.47,127.47,4
JVASP-5278,33.46,33.46,12
JVASP-92181,57.87,57.87,8
JVASP-90571,54.04,54.04,8
JVASP-90843,15.97,15.97,8
JVASP-90218,17.64,17.64,9
JVASP-85696,26.03,26.03,10
JVASP-73898,126.62,126.62,4
JVASP-67925,53.23,53.23,4
JVASP-67870,220.26,220.26,4
JVASP-85506,32.67,32.67,18
JVASP-75457,58.87,58.87,3
JVASP-63373,170.61,170.61,9
JVASP-68383,50.01,50.01,5
JVASP-67555,124.69,124.69,4
JVASP-66925,56.42,56.42,3
JVASP-67987,133.54,133.54,4
JVASP-74065,56.72,56.72,4
JVASP-92234,31.04,31.04,8
JVASP-85964,65.58,65.58,10
JVASP-86948,18.06,18.06,18
JVASP-88284,108.51,108.51,28
JVASP-86767,354.63,354.63,12
JVASP-75570,125.2,125.2,3
JVASP-66993,144.33,144.33,3
JVASP-67672,126.01,126.01,3
JVASP-43807,69.41,69.41,14
JVASP-67591,19.48,19.48,3
JVASP-68051,181.82,181.82,4
JVASP-68666,35.4,35.4,4
JVASP-90749,8.77,8.77,8
JVASP-75459,0.19,0.19,4
JVASP-75496,129.9,129.9,4
JVASP-68432,96.41,96.41,4
JVASP-67756,132.37,132.37,4
JVASP-89624,44.8,44.8,20
JVASP-2193,127.91,127.91,6
JVASP-62575,49.93,49.93,6
JVASP-68317,127.6,127.6,4
JVASP-67074,43.2,43.2,3
JVASP-3681,18.77,18.77,7
JVASP-85834,76.14,76.14,6
JVASP-74004,78.82,78.82,4
JVASP-91928,190.93,190.93,8
JVASP-14881,128.4,128.4,2
JVASP-1726,42.14,42.14,4
JVASP-3579,49.3,49.3,6
JVASP-90675,197.87,197.87,8
JVASP-91779,73.68,73.68,8
JVASP-68497,97.19,97.19,3
JVASP-67292,108.47,108.47,4
JVASP-66751,56.96,56.96,4
JVASP-68134,170.78,170.78,4
JVASP-67629,47.48,47.48,3
JVASP-67757,0.0,0.0,4
JVASP-86710,74.84,74.84,6
JVASP-67793,49.04,49.04,4
JVASP-68926,187.86,187.86,3
JVASP-68795,57.53,57.53,5
JVASP-68247,33.9,33.9,4
JVASP-73628,93.0,93.0,4
JVASP-67390,43.49,43.49,3
JVASP-67927,121.52,121.52,4
JVASP-66836,68.03,68.03,3
JVASP-90572,81.33,81.33,8
JVASP-68614,96.81,96.81,4
JVASP-68867,32.04,32.04,5
JVASP-67758,0.0,0.0,4
JVASP-67988,39.1,39.1,4
JVASP-18837,130.17,130.17,4
JVASP-18874,34.93,34.93,8
JVASP-67295,0.0,0.0,4
JVASP-75461,0.19,0.19,4
JVASP-75538,135.9,135.9,3
JVASP-68196,147.06,147.06,4
JVASP-67833,153.57,153.57,4
JVASP-67144,101.73,101.73,3
JVASP-67673,136.0,136.0,4
JVASP-74069,54.51,54.51,4
JVASP-73139,177.71,177.71,4
JVASP-75499,1.23,1.23,3
JVASP-19832,112.92,112.92,4
JVASP-87084,99.49,99.49,6
JVASP-89946,62.46,62.46,9
JVASP-86420,119.8,119.8,10
JVASP-90615,18.32,18.32,8
JVASP-86082,77.11,77.11,12
JVASP-14116,123.7,123.7,16
JVASP-67557,48.12,48.12,3
JVASP-22711,52.1,52.1,8
JVASP-66754,68.1,68.1,4
JVASP-12151,37.28,37.28,5
JVASP-88787,40.17,40.17,8
JVASP-86137,38.32,38.32,16
JVASP-87138,113.57,113.57,9
JVASP-18938,61.53,61.53,3
JVASP-75573,99.03,99.03,6
JVASP-75650,224.57,224.57,4
JVASP-68676,62.11,62.11,4
JVASP-67630,101.19,101.19,3
JVASP-75500,0.87,0.87,3
JVASP-68742,59.81,59.81,4
JVASP-68436,27.68,27.68,4
JVASP-50348,86.9,86.9,4
JVASP-91731,21.56,21.56,8
JVASP-66932,0.0,0.0,4
JVASP-73908,98.3,98.3,4
JVASP-14707,124.9,124.9,6
JVASP-67393,141.51,141.51,3
JVASP-68498,68.02,68.02,3
JVASP-74010,94.49,94.49,4
JVASP-92182,14.3,14.3,8
JVASP-86887,44.03,44.03,7
JVASP-67877,189.1,189.1,4
JVASP-1417,87.17,87.17,3
JVASP-87022,125.74,125.74,8
JVASP-86259,220.31,220.31,16
JVASP-89184,22.7,22.7,8
JVASP-66844,90.64,90.64,3
JVASP-14559,150.07,150.07,3
JVASP-68250,47.39,47.39,4
JVASP-67593,99.99,99.99,3
JVASP-1276,53.0,53.0,2
JVASP-88076,58.1,58.1,20
JVASP-67930,55.17,55.17,4
JVASP-3684,21.27,21.27,9
JVASP-1969,61.62,61.62,4
JVASP-90220,42.91,42.91,9
JVASP-86187,24.12,24.12,8
JVASP-573,37.68,37.68,3
JVASP-90160,48.98,48.98,9
JVASP-91980,305.42,305.42,8
JVASP-75608,71.4,71.4,3
JVASP-86818,136.24,136.24,6
JVASP-85507,22.92,22.92,18
JVASP-85697,59.13,59.13,17
JVASP-68616,13.62,13.62,4
JVASP-67720,36.46,36.46,3
JVASP-68387,84.24,84.24,4
JVASP-68869,75.98,75.98,4
JVASP-90034,19.08,19.08,9
JVASP-67082,149.71,149.71,3
JVASP-92236,41.08,41.08,8
JVASP-67795,139.03,139.03,4
JVASP-74072,99.73,99.73,4
JVASP-603,35.54,35.54,3
JVASP-75465,95.4,95.4,3
JVASP-75692,45.0,45.0,3
JVASP-86949,58.91,58.91,7
JVASP-67594,0.0,0.0,4
JVASP-67238,135.82,135.82,3
JVASP-67005,0.0,0.0,4
JVASP-91929,109.21,109.21,8
JVASP-67834,45.1,45.1,3
JVASP-67677,212.7,212.7,6
JVASP-73920,107.41,107.41,4
JVASP-67993,86.31,86.31,4
JVASP-68563,57.62,57.62,4
JVASP-67476,39.98,39.98,3
JVASP-86488,84.11,84.11,6
JVASP-74012,118.52,118.52,4
JVASP-91593,59.18,59.18,8
JVASP-85348,86.94,86.94,12
JVASP-85908,59.33,59.33,6
JVASP-73699,153.9,153.9,3
JVASP-68251,92.98,92.98,4
JVASP-66757,149.88,149.88,3
JVASP-15984,231.04,231.04,5
JVASP-66936,108.28,108.28,3
JVASP-67879,30.27,30.27,4
JVASP-68744,81.18,81.18,4
JVASP-49848,96.09,96.09,4
JVASP-67931,144.47,144.47,4
JVASP-63377,261.92,261.92,8
JVASP-90103,37.48,37.48,9
JVASP-67148,123.91,123.91,3
JVASP-68390,4.77,4.77,4
JVASP-43808,53.73,53.73,14
JVASP-75466,42.57,42.57,3
JVASP-42671,19.97,19.97,12
JVASP-75653,124.93,124.93,4
JVASP-67301,70.88,70.88,4
JVASP-86711,20.42,20.42,12
JVASP-91552,24.76,24.76,8
JVASP-66845,154.3,154.3,4
JVASP-90893,27.07,27.07,8
JVASP-75611,130.43,130.43,4
JVASP-67796,43.83,43.83,3
JVASP-67558,143.38,143.38,4
JVASP-68325,43.53,43.53,4
JVASP-88461,32.19,32.19,9
JVASP-19926,126.49,126.49,3
JVASP-66758,0.0,0.0,4
JVASP-67760,68.33,68.33,4
JVASP-75504,1.23,1.23,3
JVASP-68058,198.91,198.91,4
JVASP-67721,59.26,59.26,3
JVASP-3135,115.13,115.13,6
JVASP-1387,49.83,49.83,3
JVASP-68807,46.67,46.67,4
JVASP-3582,16.83,16.83,9
JVASP-90322,34.03,34.03,9
JVASP-68391,19.98,19.98,4
JVASP-74073,101.06,101.06,4
JVASP-73922,227.34,227.34,4
JVASP-72530,127.94,127.94,4
JVASP-67559,86.97,86.97,4
JVASP-90616,29.72,29.72,8
JVASP-90845,41.02,41.02,8
JVASP-75507,0.19,0.19,4
JVASP-67477,55.47,55.47,4
JVASP-75696,1.2,1.2,3
JVASP-67244,95.82,95.82,3
JVASP-88683,23.11,23.11,36
JVASP-75468,234.37,234.37,4
JVASP-67632,45.31,45.31,4
JVASP-15740,45.19,45.19,6
JVASP-68446,109.91,109.91,4
JVASP-68682,222.23,222.23,5
JVASP-66937,72.14,72.14,4
JVASP-67935,77.52,77.52,4
JVASP-68746,15.64,15.64,4
JVASP-88788,35.52,35.52,8
JVASP-75612,89.53,89.53,3
JVASP-68565,32.22,32.22,4
JVASP-67596,51.53,51.53,3
JVASP-67245,0.0,0.0,4
JVASP-74089,0.0,0.0,4
JVASP-67010,138.3,138.3,3
JVASP-48714,68.57,68.57,16
JVASP-85971,33.92,33.92,14
JVASP-63285,24.07,24.07,8
JVASP-68618,66.64,66.64,4
JVASP-75581,118.77,118.77,3
JVASP-75509,0.19,0.19,4
JVASP-75469,234.37,234.37,4
JVASP-67155,215.3,215.3,3
JVASP-74020,84.52,84.52,4
JVASP-67836,21.07,21.07,3
JVASP-75764,163.2,163.2,4
JVASP-67762,66.53,66.53,4
JVASP-90679,208.7,208.7,8
JVASP-90521,64.61,64.61,9
JVASP-86189,37.18,37.18,17
JVASP-67307,37.48,37.48,3
JVASP-67397,50.8,50.8,3
JVASP-67798,176.9,176.9,4
JVASP-67560,48.98,48.98,4
JVASP-19860,193.9,193.9,8
JVASP-86339,117.22,117.22,6
JVASP-3762,15.04,15.04,7
JVASP-91931,16.5,16.5,8
JVASP-66847,77.57,77.57,3
JVASP-85508,27.1,27.1,18
JVASP-5281,4.82,4.82,20
JVASP-68256,202.4,202.4,4
JVASP-92239,56.3,56.3,8
JVASP-68569,55.93,55.93,5
JVASP-72570,4.65,4.65,4
JVASP-595,43.57,43.57,3
JVASP-18913,73.94,73.94,4
JVASP-85698,124.86,124.86,16
JVASP-73925,117.58,117.58,4
JVASP-15985,12.68,12.68,8
JVASP-67722,168.37,168.37,6
JVASP-75699,80.7,80.7,4
JVASP-68512,44.36,44.36,4
JVASP-14882,61.1,61.1,2
JVASP-67597,45.76,45.76,3
JVASP-75655,140.87,140.87,4
JVASP-12152,84.66,84.66,11
JVASP-14660,184.67,184.67,6
JVASP-75802,126.7,126.7,3
JVASP-67681,46.2,46.2,4
JVASP-73288,107.23,107.23,4
JVASP-67998,241.19,241.19,4
JVASP-68683,17.13,17.13,4
JVASP-68748,57.83,57.83,4
JVASP-75470,98.13,98.13,3
JVASP-2002,36.03,36.03,2
JVASP-43580,61.14,61.14,10
JVASP-68203,190.17,190.17,4
JVASP-68448,59.53,59.53,4
JVASP-63394,299.14,299.14,3
JVASP-21207,3.1,3.1,1
JVASP-3138,60.78,60.78,5
JVASP-67011,49.77,49.77,3
JVASP-14117,18.86,18.86,24
JVASP-52349,187.99,187.99,6
JVASP-75544,113.43,113.43,4
JVASP-541,56.93,56.93,3
JVASP-66939,42.38,42.38,3
JVASP-74092,141.43,141.43,4
JVASP-1972,53.79,53.79,4
JVASP-91553,53.73,53.73,8
JVASP-88462,55.09,55.09,7
JVASP-85427,128.09,128.09,9
JVASP-91733,61.84,61.84,8
JVASP-67158,35.02,35.02,3
JVASP-15781,65.83,65.83,2
JVASP-48024,66.3,66.3,20
JVASP-90427,116.96,116.96,9
JVASP-75765,121.93,121.93,3
JVASP-67763,39.28,39.28,3
JVASP-85977,3.73,3.73,12
JVASP-67308,54.84,54.84,3
JVASP-68812,86.83,86.83,5
JVASP-68148,180.07,180.07,4
JVASP-67635,56.04,56.04,4
JVASP-75583,0.19,0.19,4
JVASP-15310,146.32,146.32,5
JVASP-75472,1.23,1.23,3
JVASP-66848,44.04,44.04,3
JVASP-74021,119.26,119.26,4
JVASP-67937,139.31,139.31,4
JVASP-85765,10.63,10.63,18
JVASP-68881,43.17,43.17,4
JVASP-75766,0.19,0.19,4
JVASP-75658,90.33,90.33,3
JVASP-86422,130.7,130.7,12
JVASP-68395,35.81,35.81,4
JVASP-74093,0.0,0.0,4
JVASP-90617,253.4,253.4,8
JVASP-13888,112.02,112.02,10
JVASP-20090,206.62,206.62,8
JVASP-75584,1.22,1.22,3
JVASP-90847,58.68,58.68,8
JVASP-18466,108.81,108.81,8
JVASP-73927,112.61,112.61,4
JVASP-68514,84.94,84.94,4
JVASP-75767,1.22,1.22,3
JVASP-68449,54.29,54.29,3
JVASP-68572,29.97,29.97,4
JVASP-68061,161.72,161.72,4
JVASP-67561,71.88,71.88,4
JVASP-67251,119.94,119.94,3
JVASP-75805,83.97,83.97,3
JVASP-67682,29.13,29.13,3
JVASP-67012,69.69,69.69,3
JVASP-67501,135.47,135.47,3
JVASP-22712,67.34,67.34,9
JVASP-68685,58.58,58.58,4
JVASP-75477,1.24,1.24,3
JVASP-73300,118.42,118.42,4
JVASP-88791,51.48,51.48,8
JVASP-67883,158.47,158.47,4
JVASP-75806,1.23,1.23,3
JVASP-67839,66.39,66.39,4
JVASP-3498,30.64,30.64,7
JVASP-90680,21.69,21.69,8
JVASP-90575,67.82,67.82,8
JVASP-68204,197.01,197.01,4
JVASP-66942,200.01,200.01,3
JVASP-75659,45.2,45.2,3
JVASP-12025,26.82,26.82,3
JVASP-15080,90.1,90.1,3
JVASP-68573,0.0,0.0,4
JVASP-75515,1.22,1.22,3
JVASP-75547,94.77,94.77,3
JVASP-90333,0.2,0.2,9
JVASP-3591,18.37,18.37,9
JVASP-67311,142.86,142.86,4
JVASP-67411,100.47,100.47,4
JVASP-67800,105.5,105.5,6
JVASP-68065,0.0,0.0,4
JVASP-66852,53.97,53.97,3
JVASP-68749,108.51,108.51,5
JVASP-67636,179.72,179.72,3
JVASP-91932,85.99,85.99,8
JVASP-72730,46.33,46.33,4
JVASP-3687,52.74,52.74,6
JVASP-68260,222.41,222.41,4
JVASP-91513,194.97,194.97,8
JVASP-85352,26.5,26.5,8
JVASP-18700,58.43,58.43,6
JVASP-75840,0.87,0.87,3
JVASP-68328,127.76,127.76,5
JVASP-1729,101.44,101.44,4
JVASP-67599,144.92,144.92,3
JVASP-20064,55.83,55.83,2
JVASP-67939,134.76,134.76,4
JVASP-90224,150.59,150.59,9
JVASP-85519,88.91,88.91,8
JVASP-73929,56.18,56.18,4
JVASP-87091,35.12,35.12,14
JVASP-92240,33.46,33.46,8
JVASP-15701,174.37,174.37,2
JVASP-67563,58.78,58.78,3
JVASP-75550,1.21,1.21,3
JVASP-68626,29.47,29.47,4
JVASP-75478,163.47,163.47,4
JVASP-68817,94.2,94.2,4
JVASP-67683,24.2,24.2,3
JVASP-18581,85.96,85.96,3
JVASP-68066,94.46,94.46,3
JVASP-14856,114.5,114.5,2
JVASP-91984,101.19,101.19,8
JVASP-68452,61.34,61.34,4
JVASP-68686,97.84,97.84,4
JVASP-75885,0.0,0.0,4
JVASP-67888,145.24,145.24,4
JVASP-75518,0.19,0.19,4
JVASP-68574,22.57,22.57,4
JVASP-67766,39.39,39.39,3
JVASP-42764,109.08,109.08,18
JVASP-22676,7.96,7.96,4
JVASP-75842,174.17,174.17,4
JVASP-67163,44.34,44.34,4
JVASP-74031,100.63,100.63,4
JVASP-91554,77.12,77.12,8
JVASP-3771,18.4,18.4,9
JVASP-90803,44.36,44.36,8
JVASP-86547,13.17,13.17,18
JVASP-89222,171.28,171.28,18
JVASP-85699,49.81,49.81,5
JVASP-67600,148.47,148.47,4
JVASP-15484,144.57,144.57,5
JVASP-75479,163.47,163.47,4
JVASP-75736,232.0,232.0,4
JVASP-75887,0.0,0.0,4
JVASP-67940,23.88,23.88,4
JVASP-75704,1.22,1.22,3
JVASP-67840,48.04,48.04,3
JVASP-73931,0.0,0.0,4
JVASP-14920,46.28,46.28,5
JVASP-75588,158.67,158.67,4
JVASP-48246,161.01,161.01,14
JVASP-67312,58.58,58.58,3
JVASP-66853,206.67,206.67,3
JVASP-67418,168.57,168.57,4
JVASP-1975,37.52,37.52,4
JVASP-75811,0.87,0.87,3
JVASP-67725,58.02,58.02,3
JVASP-68516,16.32,16.32,4
JVASP-92251,11.43,11.43,8
JVASP-68887,19.89,19.89,4
JVASP-72739,177.8,177.8,4
JVASP-67684,23.41,23.41,3
JVASP-75589,158.67,158.67,4
JVASP-86772,24.74,24.74,8
JVASP-67103,140.41,140.41,3
JVASP-75519,165.73,165.73,4
JVASP-67639,37.89,37.89,3
JVASP-75812,0.88,0.88,3
JVASP-68818,54.63,54.63,4
JVASP-67768,6.47,6.47,6
JVASP-86424,157.68,157.68,8
JVASP-74033,87.87,87.87,4
JVASP-88089,94.18,94.18,26
JVASP-75663,167.77,167.77,4
JVASP-68454,24.16,24.16,4
JVASP-1333,61.57,61.57,2
JVASP-68575,85.21,85.21,4
JVASP-75737,112.23,112.23,4
JVASP-75554,0.19,0.19,4
JVASP-68754,70.36,70.36,4
JVASP-67890,19.44,19.44,4
JVASP-68068,217.21,217.21,4
JVASP-62724,16.22,16.22,26
JVASP-75522,1.21,1.21,3
JVASP-67601,59.93,59.93,3
JVASP-68405,41.0,41.0,4
JVASP-75480,188.2,188.2,4
JVASP-22713,17.5,17.5,7
JVASP-86714,18.83,18.83,12
JVASP-68011,0.0,0.0,4
JVASP-75738,0.88,0.88,3
JVASP-18620,133.39,133.39,7
JVASP-14582,65.33,65.33,4
JVASP-74109,201.21,201.21,4
JVASP-75555,1.23,1.23,3
JVASP-75481,188.2,188.2,4
JVASP-86087,75.12,75.12,15
JVASP-67515,103.7,103.7,3
JVASP-86661,56.34,56.34,17
JVASP-67420,73.69,73.69,3
JVASP-91597,136.62,136.62,8
JVASP-13764,0.0,0.0,5
JVASP-66854,25.67,25.67,3
JVASP-67943,0.0,0.0,4
JVASP-68892,66.89,66.89,4
JVASP-43810,51.54,51.54,12
JVASP-73944,189.62,189.62,4
JVASP-68271,160.47,160.47,4
JVASP-68157,136.94,136.94,4
JVASP-75739,1.22,1.22,3
JVASP-90335,18.37,18.37,9
JVASP-16093,99.77,99.77,6
JVASP-85353,43.47,43.47,6
JVASP-75557,1.21,1.21,3
JVASP-86892,19.49,19.49,8
JVASP-3774,26.47,26.47,7
JVASP-85521,132.62,132.62,5
JVASP-67313,42.32,42.32,3
JVASP-75590,28.77,28.77,6
JVASP-67686,0.0,0.0,4
JVASP-75740,0.19,0.19,4
JVASP-67726,34.96,34.96,3
JVASP-69536,169.0,169.0,4
JVASP-72771,129.82,129.82,3
JVASP-67104,38.33,38.33,3
JVASP-75483,188.2,188.2,4
JVASP-67769,155.02,155.02,4
JVASP-15486,197.97,197.97,4
JVASP-91933,80.07,80.07,8
JVASP-68819,62.72,62.72,4
JVASP-15599,147.59,147.59,5
JVASP-68518,49.31,49.31,4
JVASP-68457,92.12,92.12,4
JVASP-75523,47.37,47.37,3
JVASP-75558,0.19,0.19,4
JVASP-92190,0.25,0.25,8
JVASP-22677,94.33,94.33,3
JVASP-14634,96.58,96.58,9
JVASP-14922,184.72,184.72,6
JVASP-67803,107.19,107.19,3
JVASP-86824,10.77,10.77,16
JVASP-91985,102.09,102.09,8
JVASP-89888,42.98,42.98,16
JVASP-68337,29.54,29.54,4
JVASP-75774,81.13,81.13,3
JVASP-75889,145.7,145.7,4
JVASP-74034,112.1,112.1,4
JVASP-67166,50.42,50.42,3
JVASP-85840,117.02,117.02,6
JVASP-68071,87.81,87.81,4
JVASP-15647,115.77,115.77,4
JVASP-76275,34.87,34.87,10
JVASP-68210,236.97,236.97,4
JVASP-67770,0.0,0.0,4
JVASP-68631,89.91,89.91,4
JVASP-14562,140.77,140.77,6
JVASP-67568,84.18,84.18,4
JVASP-68012,116.23,116.23,4
JVASP-67688,0.0,0.0,4
JVASP-68406,34.73,34.73,4
JVASP-69723,131.94,131.94,4
JVASP-75777,0.19,0.19,4
JVASP-75664,160.69,160.69,9
JVASP-75891,145.7,145.7,4
JVASP-75622,268.37,268.37,4
JVASP-67167,0.0,0.0,4
JVASP-86548,27.4,27.4,12
JVASP-47538,67.94,67.94,15
JVASP-67428,44.37,44.37,3
JVASP-75593,28.77,28.77,4
JVASP-75561,1.23,1.23,3
JVASP-67644,125.7,125.7,4
JVASP-68273,131.93,131.93,4
JVASP-67604,198.89,198.89,4
JVASP-75484,224.43,224.43,4
JVASP-67727,17.3,17.3,6
JVASP-67314,69.33,69.33,3
JVASP-68583,55.84,55.84,4
JVASP-75708,88.8,88.8,3
JVASP-75893,145.7,145.7,4
JVASP-75819,0.19,0.19,4
JVASP-67945,17.77,17.77,4
JVASP-67844,151.6,151.6,6
JVASP-3348,47.1,47.1,8
JVASP-68522,32.34,32.34,4
JVASP-75847,1.22,1.22,3
JVASP-67892,235.87,235.87,4
JVASP-50093,179.79,179.79,6
JVASP-3594,29.41,29.41,6
JVASP-2139,185.1,185.1,6
JVASP-67569,45.39,45.39,4
JVASP-75894,145.7,145.7,4
JVASP-67689,40.93,40.93,4
JVASP-15058,117.37,117.37,2
JVASP-68338,31.53,31.53,4
JVASP-3780,35.43,35.43,6
JVASP-67520,207.56,207.56,3
JVASP-75624,268.37,268.37,4
JVASP-69641,173.27,173.27,4
JVASP-72790,155.9,155.9,4
JVASP-68585,58.68,58.68,4
JVASP-68158,74.69,74.69,4
JVASP-18838,148.82,148.82,4
JVASP-17255,41.24,41.24,7
JVASP-69469,223.3,223.3,4
JVASP-68759,174.19,174.19,4
JVASP-67806,41.78,41.78,3
JVASP-73953,128.34,128.34,4
JVASP-91736,30.83,30.83,8
JVASP-74117,54.82,54.82,4
JVASP-90621,262.27,262.27,8
JVASP-92252,96.92,96.92,8
JVASP-85647,40.84,40.84,13
JVASP-87094,27.34,27.34,10
JVASP-68072,118.9,118.9,4
JVASP-67172,0.0,0.0,4
JVASP-68408,81.69,81.69,4
JVASP-20091,173.33,173.33,2
JVASP-28965,41.56,41.56,12
JVASP-16222,79.7,79.7,8
JVASP-75594,183.17,183.17,4
JVASP-75562,100.43,100.43,3
JVASP-15600,171.61,171.61,5
JVASP-19870,152.4,152.4,7
JVASP-54622,158.2,158.2,4
JVASP-67646,45.39,45.39,4
JVASP-69724,173.54,173.54,4
JVASP-68013,205.56,205.56,4
JVASP-67728,50.26,50.26,4
JVASP-87166,127.2,127.2,10
JVASP-68461,0.0,0.0,4
JVASP-1909,41.83,41.83,4
JVASP-3906,22.74,22.74,6
JVASP-85774,12.22,12.22,8
JVASP-86715,96.36,96.36,18
JVASP-90850,52.58,52.58,8
JVASP-91556,33.64,33.64,8
JVASP-85701,19.46,19.46,12
JVASP-69869,194.52,194.52,4
JVASP-69803,155.69,155.69,4
JVASP-74044,118.87,118.87,4
JVASP-12172,25.31,25.31,10
JVASP-18405,82.93,82.93,3
JVASP-68212,132.03,132.03,4
JVASP-68586,93.31,93.31,3
JVASP-75595,1.22,1.22,3
JVASP-67320,108.64,108.64,4
JVASP-67570,53.51,53.51,4
JVASP-75821,0.19,0.19,4
JVASP-22679,17.3,17.3,9
JVASP-75625,172.8,172.8,4
JVASP-67772,157.57,157.57,4
JVASP-14196,52.24,52.24,8
JVASP-67894,183.87,183.87,4
JVASP-91697,53.59,53.59,8
JVASP-68705,12.13,12.13,4
JVASP-75711,48.97,48.97,3
JVASP-75668,180.6,180.6,4
JVASP-68523,64.46,64.46,4
JVASP-75486,28.8,28.8,3
JVASP-75626,0.88,0.88,3
JVASP-28765,44.27,44.27,12
JVASP-75822,0.19,0.19,4
JVASP-68275,193.73,193.73,4
JVASP-86827,24.26,24.26,8
JVASP-68636,78.03,78.03,4
JVASP-69929,86.63,86.63,4
JVASP-1309,52.2,52.2,2
JVASP-75596,63.1,63.1,3
JVASP-75565,1.22,1.22,3
JVASP-68760,93.1,93.1,5
JVASP-72807,138.16,138.16,4
JVASP-68161,40.43,40.43,4
JVASP-22726,26.73,26.73,4
JVASP-91986,155.7,155.7,8
JVASP-67848,167.46,167.46,4
JVASP-67524,72.09,72.09,4
JVASP-68462,35.7,35.7,4
JVASP-67647,49.74,49.74,3
JVASP-75851,115.87,115.87,4
JVASP-68214,55.6,55.6,4
JVASP-73957,84.43,84.43,4
JVASP-19927,141.43,141.43,4
JVASP-3783,38.47,38.47,7
JVASP-75566,1.24,1.24,3
JVASP-75597,0.19,0.19,4
JVASP-75824,0.19,0.19,4
JVASP-69931,44.24,44.24,4
JVASP-67773,18.22,18.22,3
JVASP-74045,214.56,214.56,4
JVASP-88799,71.09,71.09,28
JVASP-18875,54.9,54.9,4
JVASP-68076,44.39,44.39,4
JVASP-14598,41.6,41.6,2
JVASP-75712,146.0,146.0,4
JVASP-51292,119.63,119.63,3
JVASP-68017,227.07,227.07,4
JVASP-75853,115.87,115.87,4
JVASP-92246,111.52,111.52,8
JVASP-85998,11.71,11.71,8
JVASP-86427,71.77,71.77,7
JVASP-75781,0.14,0.14,4
JVASP-18441,97.61,97.61,5
JVASP-74129,44.16,44.16,4
JVASP-86319,40.81,40.81,8
JVASP-68342,44.2,44.2,4
JVASP-75854,1.22,1.22,3
